,lane_num_shift,lanechange,x
64460,5,left turn,0
64500,4,left turn,70
64968,5,left turn,0
64995,4,left turn,40
65271,5,left turn,0
65337,4,right turn,110
65551,2,right turn,-100
66224,2,left turn,-100
66509,1,right turn,-100
66609,2,right turn,-100
66664,3,right turn,40
66690,4,right turn,110
66889,3,right turn,40
66915,4,right turn,110
67119,2,right turn,-60
67158,3,right turn,40
67184,4,right turn,110
67389,2,right turn,-100
67444,3,right turn,40
67470,4,right turn,110
67630,3,right turn,40
67661,4,right turn,110
67852,5,left turn,0
67880,4,left turn,60
68431,5,left turn,0
68495,4,right turn,110
68629,2,left turn,-100
68733,4,right turn,110
68930,2,left turn,-100
69083,3,right turn,40
69110,4,right turn,110
69309,2,left turn,-100
69408,1,right turn,-100
69706,2,right turn,-100
69761,3,right turn,40
69788,4,right turn,110
69978,1,right turn,-100
70077,2,right turn,-100
70252,3,right turn,40
70278,4,right turn,110
70483,2,right turn,-100
70538,3,right turn,40
70564,4,right turn,110
70788,3,left turn,-100
70886,2,right turn,-100
71200,5,left turn,0
71236,4,left turn,60
71647,5,left turn,0
71673,4,left turn,40
72093,5,left turn,0
72159,4,right turn,110
72459,2,left turn,-100
72569,1,right turn,-100
72807,3,left turn,-100
72905,2,right turn,-100
72961,3,right turn,40
72988,4,right turn,110
73274,3,right turn,40
73302,4,right turn,110
73484,2,right turn,-100
73540,3,right turn,40
73565,4,right turn,110
73800,2,right turn,-100
74099,2,right turn,0
74116,3,right turn,40
74144,4,right turn,110
74349,2,right turn,-90
74401,3,right turn,40
74427,4,right turn,110
74583,3,right turn,40
74617,4,right turn,110
74833,5,left turn,0
74848,4,left turn,20
74865,3,left turn,50
74941,2,left turn,-100
75451,1,right turn,-100
75884,5,left turn,0
75950,4,right turn,110
76149,2,left turn,-100
76620,1,right turn,-100
76926,5,left turn,0
76953,4,left turn,40
77250,3,left turn,-100
77380,2,right turn,-100
77438,3,right turn,40
77467,4,right turn,110
77635,2,right turn,20
77643,3,right turn,40
77670,4,right turn,110
77828,3,right turn,40
77854,4,right turn,110
78060,2,right turn,-100
78237,3,right turn,40
78263,4,right turn,110
78422,3,right turn,40
78449,4,right turn,110
78654,5,left turn,0
78689,4,left turn,40
78793,3,left turn,180
78812,2,left turn,-100
79241,1,right turn,10
79406,2,left turn,-100
79716,1,right turn,-100
79914,2,right turn,-100
80114,5,left turn,0
80180,4,right turn,110
80615,2,right turn,-100
80671,3,right turn,40
80703,4,right turn,110
80969,5,left turn,0
80996,4,left turn,40
81127,3,right turn,40
81155,4,right turn,110
81319,3,right turn,40
81352,4,right turn,110
81584,3,left turn,140
81605,2,right turn,-100
81803,3,right turn,40
81831,4,right turn,110
82051,1,right turn,-90
82149,2,right turn,-60
82315,3,right turn,40
82346,4,right turn,110
82595,5,left turn,0
82645,4,left turn,60
82700,3,left turn,160
82724,2,left turn,-90
83219,1,right turn,-100
83419,2,left turn,-100
83629,1,right turn,-100
83730,2,right turn,-100
83829,3,left turn,130
83955,5,left turn,0
83981,4,left turn,40
84270,2,right turn,-100
84325,3,right turn,40
84352,4,right turn,110
84592,1,right turn,10
84979,2,left turn,-100
85399,3,right turn,40
85428,4,right turn,110
85558,3,right turn,40
85584,4,right turn,110
85742,3,right turn,40
85769,4,right turn,110
85972,2,right turn,-100
86028,3,right turn,40
86054,4,right turn,110
86213,3,right turn,40
86241,4,right turn,110
86450,2,right turn,-100
86505,3,right turn,40
86532,4,right turn,110
86736,5,left turn,0
86762,4,left turn,40
87330,5,left turn,0
87356,4,left turn,40
87732,1,right turn,-100
88034,2,left turn,190
88039,1,right turn,-100
88139,2,right turn,-100
88194,3,right turn,40
88220,4,right turn,110
88521,2,right turn,-100
88795,3,right turn,40
88821,4,right turn,110
88975,3,right turn,40
89002,4,right turn,110
89222,2,right turn,-100
89359,3,right turn,40
89387,4,right turn,110
89614,5,left turn,90
89621,4,right turn,110
89884,5,left turn,0
89943,4,left turn,70
89985,3,left turn,130
90021,2,left turn,-100
90548,1,right turn,-100
90746,2,left turn,-100
90921,3,right turn,70
90940,4,right turn,110
91108,1,right turn,-100
91308,2,right turn,-90
91432,3,left turn,-100
91737,2,right turn,-90
91891,3,right turn,40
91918,4,right turn,110
92064,3,right turn,40
92092,4,right turn,110
92381,3,right turn,40
92408,4,right turn,110
92624,5,left turn,0
92649,4,left turn,40
92783,3,right turn,40
92816,4,right turn,110
92947,2,right turn,-100
93374,2,right turn,20
93382,3,right turn,40
93409,4,right turn,110
